Município;AIDS - Ações Estratégicas;Acomp. Pac. Saúde Mental - Ações Estratégic. - SIA;Acomp. de paciente - Ações Estratégicas - SIA;Acomp. pós transplante - Ações Estratégicas;Acompanh. a def. auditivo - Ações Estratégicas;Aids - Ações Estratégicas - AIH;Angioplastia endovascular - SIH;Anvisa - Taxa de fiscalização;Apoio à população indígena;Assistência domiciliar - Ações Estratégicas SIA;Assistência pré-natal - AIH;CAPS I - Incent. Cust. Centros At. Psicossocial;Campanha de vacinação do idoso;Central de Regulação - Ações Estratégicas;Central de Regulação - Ações Estratétgicas - SIA;Câncer de colo uterino - Ações Estratégicas;Deformidade crânio-facial - Ações Estrategicas;Epidemiologia e controle de doenças;Epidemiologia e controle de doenças (adicional);Epilepsia - SIH;Farmácia básica;Financ aos Centros de Referência Saúde Trabalhador;Fisioterapia -  - Ações Estratégicas SIA;Gastroplastia - Ações Estratégicas;Geriatria - Ações Estratégicas - AIH;Gestão plena do sistema estadual (NOAS);Gestão plena sistema municipal - média complex;Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI;Inc. Fortalecimento Gestão de Vigilância em Saúde;Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospitalar;Incent. Prog. Nacional de HIV/AIDS e outras DST;Incentivo Adicional ao CEO;Incentivo CNRAC - Ações Estratégicas - SIA;Incentivo Estabelecimento de Parcerias com as OSC;Incentivo a ações básicas vigilância sanitária;Incentivo fortalec lab centr saúde pública - LACEN;Incentivo para Casa de Apoio HIV/AIDS;Incentivo à Farmácia Popular do Brasil;Incentivo à Saúde no Sistema Penitenciário;Incentivo à saúde bucal;Leucemia mielóide - SIA;MAC vigilância sanitária;Medicamentos dos Grupos AR 0,95;Medicamentos dos Grupos HD 1,15;Medicamentos excepcionais pacientes crônicos;Medicamentos para saúde mental;Multirão de Cirurgias Eletivas Média Complexidade;Neonatal - Ações Estratégicas- SIA;Neurocirurgia - SIH;Ortodontia - Ações Estratégicas;Osteogenesis Imperfecta - AIH;Patologia clínica - Ações Estratégicas SIA;Piso de atenção básica - fixo;Programa Farmácia Popular do Brasil;Programa agentes comunitários de saúde;Programa de Especialidade Odontológica;Programa de Saúde da Família;Pré-natal - Ações Estratégicas;Prótese Dentária - Ações Estratégicas - SIA;Psicodiagnóstico - Ações Estratégicas SIA;Queimados - Ações Estratégicas;Reabilitação - Ações Estratégicas;Registro Civil e Nascimento - AIH;Registro de Câncer de Base Populacional - RCBP;Serviços Atendimento Móvel de Urgências - SAMU;Terapia e psicoterapia - Ações Estratégicas SIA;Terapia renal substitutiva - SIA;Transplantes - Ações Estratégicas;Tuberculose - Ações Estratégicas;Total
350315 Arapeí;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;358,37;-;-;373,73;-;-;-;-;-;-;-;-;-;-;-;-;-;58,77;-;-;-;-;1700;-;-;220,4;266,8;-;-;-;-;-;-;-;-;3756,63;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;14324,8
350320 Araraquara;-;21097,35;-;-;-;-;-;1641,99;-;34,2;120;-;3384,53;-;-;15714,05;14625,52;34341,3;-;-;26074,68;-;70,8;-;-;-;1134728,86;-;-;-;29636,74;-;-;-;4104,98;-;-;-;-;10200;40636;1970,39;15390,08;18630,1;-;-;-;14;-;12976,25;-;-;214159,83;-;29750;-;67500;940;-;10,96;-;-;-;-;71500;857,18;353106,88;-;-;2123216,67
350330 Araras;-;-;-;-;-;-;-;-;-;427,5;-;-;1682,47;236255,36;6557,59;389;-;19743,89;-;-;15035,9;-;1253,16;-;-;-;500785,04;-;-;-;-;-;-;-;2389,21;-;-;-;-;28050;-;-;8928,65;10808,37;-;-;-;-;-;-;-;-;124299,5;-;29400;-;89100;500;-;-;-;-;-;-;-;823,65;-;-;-;1076429,29
350335 Arco-Íris;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;286,36;-;-;305,39;-;-;-;-;-;-;-;-;-;-;-;-;-;47,52;-;-;-;-;1700;-;-;178,92;216,58;-;-;-;-;-;-;-;-;2471,08;-;1750;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;12445,95
350340 Arealva;-;-;-;-;-;-;-;62,21;-;-;-;-;162,28;-;-;-;-;983,59;-;-;1010,9;-;-;-;-;-;-;-;-;-;-;-;-;-;155,52;-;-;-;-;1700;-;62,21;587,81;711,56;-;-;-;-;-;-;-;-;8087,08;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;21023,16
350350 Areias;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;495,44;-;-;508,34;-;-;-;-;-;-;-;-;-;-;-;-;-;79,13;-;-;-;-;1700;-;-;297,83;360,53;-;-;-;-;-;-;-;-;4241,1;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;15272,47
350360 Areiópolis;-;-;-;-;-;-;-;87,39;-;-;-;-;106,36;-;-;-;-;1351,9;-;-;1428,63;-;-;-;-;-;-;-;-;-;-;-;-;-;218,48;-;-;-;-;-;-;87,39;827,45;1001,65;-;-;-;-;-;-;-;-;11360,92;-;6300;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;38970,17
350370 Ariranha;-;-;-;-;-;-;-;70,83;-;-;-;-;160,06;-;-;-;-;1024,75;-;-;1097,25;-;-;-;-;-;-;-;-;-;-;-;-;-;177,06;-;-;-;-;-;-;70,83;658,19;796,76;-;-;-;-;-;-;-;-;9207,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13262,98
350380 Artur Nogueira;-;-;-;-;-;-;-;348,23;-;-;-;-;469,5;-;-;-;-;4696,32;-;-;5140,3;-;-;-;-;-;-;-;-;-;-;-;-;-;870,56;-;-;-;-;5100;-;348,23;3183,93;3854,23;-;-;-;-;-;-;-;-;45269,25;-;12600;-;37800;-;-;-;-;-;-;-;-;-;-;-;-;119680,55
350390 Arujá;-;-;-;-;-;-;-;-;-;-;-;-;618,13;-;-;-;-;10916,48;-;-;9051,35;-;-;-;-;-;-;-;-;-;25000;-;-;-;1514,46;-;-;-;-;-;-;-;5561,3;6732,1;-;-;-;-;-;-;-;-;78751,83;-;-;-;-;-;-;-;-;-;-;-;12500;-;-;-;-;150645,65
350395 Aspásia;-;-;-;-;-;-;-;15,26;-;-;-;-;90,09;-;-;-;-;243,09;-;-;251,76;-;-;-;-;-;-;-;-;-;-;-;-;-;37,5;-;-;-;-;-;-;15,26;143,37;173,55;-;-;-;-;-;-;-;-;1950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2919,88
350400 Assis;-;32678,35;-;-;-;80;-;786,79;-;71,25;1480;-;1650,13;-;-;5514,88;-;16435,73;-;-;12481,43;-;23,6;-;-;-;504947,46;-;-;-;-;-;-;-;1966,98;-;-;-;-;8500;-;944,15;7371,84;8923,81;-;-;-;-;-;-;-;-;102282,92;-;16450;-;59400;2200;-;-;-;-;260;-;-;922;140023,14;-;8,4;925402,86
350410 Atibaia;-;-;-;-;-;90;-;1057,83;-;5,7;2760;-;1846,24;-;-;588;-;15193,73;-;-;16361,13;-;219,48;-;-;-;207361,77;-;-;-;25000;-;-;-;2644,58;-;-;-;-;5600;-;1269,4;9825,22;11893,68;-;-;-;-;-;-;-;-;137518,33;-;20650;8800;48600;1700;-;98,64;-;-;-;-;-;1029,6;-;-;407,4;520520,73
