cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3536000;Parapuã;11104;10844;10580;-0,24;-0,21
3536109;Pardinho;4732;5582;7153;1,67;2,09
3536208;Pariquera-Açu;17649;18446;19233;0,44;0,35
3536257;Parisi;1948;2032;2892;0,42;2,98
3536307;Patrocínio Paulista;11416;13000;14488;1,31;0,91
3536406;Paulicéia;5302;6339;7955;1,8;1,91
3536505;Paulínia;51326;82146;110537;4,82;2,5
3536570;Paulistânia;1779;1779;2090;0;1,35
3536604;Paulo de Faria;8472;8589;7400;0,14;-1,23
3536703;Pederneiras;36614;41497;44827;1,26;0,65
3536802;Pedra Bela;5609;5780;6557;0,3;1,06
3536901;Pedranópolis;2734;2558;2787;-0,66;0,72
3537008;Pedregulho;14994;15700;15525;0,46;-0,09
3537107;Pedreira;35219;41558;43112;1,67;0,31
3537156;Pedrinhas Paulista;2861;2940;2804;0,27;-0,39
3537206;Pedro de Toledo;9187;10204;11281;1,06;0,84
3537305;Penápolis;54635;58510;61679;0,69;0,44
3537404;Pereira Barreto;25028;24962;24095;-0,03;-0,29
3537503;Pereiras;6226;7454;8659;1,82;1,26
3537602;Peruíbe;51451;59773;68344;1,51;1,12
3537701;Piacatu;4625;5287;5519;1,35;0,36
3537800;Piedade;50131;52143;52970;0,39;0,13
3537909;Pilar do Sul;23948;26406;27611;0,98;0,37
3538006;Pindamonhangaba;126026;146995;165428;1,55;0,99
3538105;Pindorama;13109;15039;14542;1,38;-0,28
3538204;Pinhalzinho;10986;13105;15219;1,78;1,25
3538303;Piquerobi;3478;3537;3264;0,17;-0,67
3538501;Piquete;15200;14107;12490;-0,74;-1,01
3538600;Piracaia;23347;25116;26029;0,73;0,3
3538709;Piracicaba;329158;364571;423323;1,03;1,25
3538808;Piraju;27897;28475;29436;0,21;0,28
3538907;Pirajuí;20095;22704;22431;1,23;-0,1
3539004;Pirangi;10038;10623;10885;0,57;0,2
3539103;Pirapora do Bom Jesus;12395;15733;18370;2,41;1,3
3539202;Pirapozinho;22104;24694;25348;1,11;0,22
3539301;Pirassununga;64864;70081;73545;0,78;0,4
3539400;Piratininga;10584;12072;15107;1,32;1,89
3539509;Pitangueiras;31156;35307;33674;1,26;-0,39
3539608;Planalto;3670;4463;4389;1,98;-0,14
3539707;Platina;2867;3192;3030;1,08;-0,43
3539806;Poá;95801;106013;103765;1,02;-0,18
3539905;Poloni;4774;5395;5592;1,23;0,3
3540002;Pompéia;18171;19964;20196;0,95;0,1
3540101;Pongaí;3693;3481;3395;-0,59;-0,21
3540200;Pontal;29681;40244;37607;3,09;-0,56
3540259;Pontalinda;3539;4074;4127;1,42;0,11
3540309;Pontes Gestal;2539;2518;2387;-0,08;-0,44
3540408;Populina;4450;4223;4127;-0,52;-0,19
3540507;Porangaba;6652;8326;10451;2,27;1,91
3540606;Porto Feliz;45514;48893;56497;0,72;1,21
3540705;Porto Ferreira;47437;51400;52649;0,81;0,2
3540754;Potim;13605;19397;20392;3,61;0,42
3540804;Potirendaba;13656;15449;18496;1,24;1,51
3540853;Pracinha;1431;2858;2578;7,16;-0,86
3540903;Pradópolis;12912;17377;17078;3,01;-0,14
3541000;Praia Grande;193582;262051;349935;3,07;2,44
3541059;Pratânia;3950;4599;5126;1,53;0,91
3541109;Presidente Alves;4317;4123;3804;-0,46;-0,67
3541208;Presidente Bernardes;14662;13570;14490;-0,77;0,55
3541307;Presidente Epitácio;39298;41318;39505;0,5;-0,37
3541406;Presidente Prudente;189186;207610;225668;0,93;0,7
3541505;Presidente Venceslau;37347;37910;35201;0,15;-0,62
3541604;Promissão;31105;35674;35131;1,38;-0,13
3541653;Quadra;2651;3236;3405;2,01;0,43
3541703;Quatá;11655;12799;13163;0,94;0,23
3541802;Queiroz;2171;2808;3265;2,61;1,26
3541901;Queluz;9112;11309;9159;2,18;-1,74
3542008;Quintana;5443;6004;7038;0,99;1,33
3542107;Rafard;8360;8612;8965;0,3;0,34
3542206;Rancharia;28772;28804;28588;0,01;-0,06
3542305;Redenção da Serra;4047;3873;4494;-0,44;1,25
3542404;Regente Feijó;16998;18494;20145;0,85;0,72
3542503;Reginópolis;4742;7323;7662;4,44;0,38
3542602;Registro;53752;54261;59946;0,09;0,83
3542701;Restinga;5584;6587;6404;1,67;-0,23
3542800;Ribeira;3507;3358;3132;-0,43;-0,58
3542909;Ribeirão Bonito;11246;12135;10989;0,76;-0,82
3543006;Ribeirão Branco;21231;18269;18627;-1,49;0,16
3543105;Ribeirão Corrente;3881;4273;4608;0,97;0,63
3543204;Ribeirão do Sul;4497;4446;4677;-0,11;0,42
3543238;Ribeirão dos Índios;2222;2187;2025;-0,16;-0,64
3543253;Ribeirão Grande;7390;7422;7450;0,04;0,03
3543303;Ribeirão Pires;104508;113068;115559;0,79;0,18
3543402;Ribeirão Preto;504923;604682;698259;1,82;1,21
3543501;Riversul;7192;6163;5599;-1,53;-0,8
3543600;Rifaina;3325;3436;4049;0,33;1,38
3543709;Rincão;10330;10414;9098;0,08;-1,12
3543808;Rinópolis;10255;9935;9259;-0,32;-0,59
3543907;Rio Claro;168218;186253;201418;1,02;0,65
3544004;Rio das Pedras;23494;29501;31328;2,3;0,5
3544103;Rio Grande da Serra;37091;43974;44170;1,72;0,04
3544202;Riolândia;8560;10575;10309;2,14;-0,21
3544251;Rosana;24229;19691;17440;-2,05;-1,01
3544301;Roseira;8577;9599;10832;1,13;1,01
3544400;Rubiácea;2337;2729;2700;1,56;-0,09
3544509;Rubinéia;2615;2862;3833;0,91;2,46
3544608;Sabino;4951;5217;5112;0,52;-0,17
3544707;Sagres;2439;2395;2474;-0,18;0,27
3544806;Sales;4563;5451;6437;1,79;1,4
3544905;Sales Oliveira;9325;10568;11411;1,26;0,64
3545001;Salesópolis;14357;15635;15202;0,86;-0,23
3545100;Salmourão;4401;4818;4808;0,91;-0,02
3545159;Saltinho;5799;7059;8161;1,99;1,22
3545209;Salto;93159;105516;134319;1,25;2,03
3545308;Salto de Pirapora;35072;40132;43748;1,36;0,72
3545407;Salto Grande;8444;8787;9050;0,4;0,25
3545506;Sandovalina;3089;3699;3645;1,82;-0,12
3545605;Santa Adélia;13449;14333;14018;0,64;-0,19
3545704;Santa Albertina;5586;5723;6393;0,24;0,93
3545803;Santa Bárbara d'Oeste;170078;180009;183347;0,57;0,15
3546009;Santa Branca;13010;13763;13975;0,56;0,13
3546108;Santa Clara d'Oeste;2123;2084;2598;-0,19;1,85
3546207;Santa Cruz da Conceição;3531;4002;4277;1,26;0,56
3546256;Santa Cruz da Esperança;1796;1953;2116;0,84;0,67
3546306;Santa Cruz das Palmeiras;25556;29932;28864;1,59;-0,3
3546405;Santa Cruz do Rio Pardo;40919;43921;46442;0,71;0,47
3546504;Santa Ernestina;5741;5568;6118;-0,31;0,79
3546603;Santa Fé do Sul;26512;29239;34794;0,98;1,46
3546702;Santa Gertrudes;15906;21634;23611;3,12;0,73
3546801;Santa Isabel;43740;50453;53174;1,44;0,44
3546900;Santa Lúcia;7853;8248;7149;0,49;-1,18
3547007;Santa Maria da Serra;4673;5413;5243;1,48;-0,27
3547106;Santa Mercedes;2803;2831;2956;0,1;0,36
3547205;Santana da Ponte Pensa;1894;1641;1670;-1,42;0,15
3547304;Santana de Parnaíba;74828;108813;154105;3,82;2,94
3547403;Santa Rita d'Oeste;2695;2543;2733;-0,58;0,6
3547502;Santa Rita do Passa Quatro;26138;26478;24833;0,13;-0,53
3547601;Santa Rosa de Viterbo;21435;23862;23411;1,08;-0,16
3547650;Santa Salete;1379;1447;1645;0,48;1,07
3547700;Santo Anastácio;20749;20475;17963;-0,13;-1,08
3547809;Santo André;649331;676407;748919;0,41;0,85
3547908;Santo Antônio da Alegria;5764;6304;6775;0,9;0,6
3548005;Santo Antônio de Posse;18124;20650;23244;1,31;0,99
3548054;Santo Antônio do Aracanguá;6929;7626;8379;0,96;0,79
3548104;Santo Antônio do Jardim;6154;5943;6126;-0,35;0,25
3548203;Santo Antônio do Pinhal;6328;6486;7133;0,25;0,8
3548302;Santo Expedito;2526;2803;3000;1,05;0,57
3548401;Santópolis do Aguapeí;3816;4277;3899;1,15;-0,77
3548500;Santos;417983;419400;418608;0,03;-0,02
3548609;São Bento do Sapucaí;10355;10468;11684;0,11;0,92
3548708;São Bernardo do Campo;703177;765463;810729;0,85;0,48
3548807;São Caetano do Sul;140159;149263;165655;0,63;0,87
3548906;São Carlos;192998;221950;254822;1,41;1,16
3549003;São Francisco;2863;2793;2602;-0,25;-0,59
3549102;São João da Boa Vista;77387;83639;92535;0,78;0,85
3549201;São João das Duas Pontes;2660;2566;2580;-0,36;0,05
3549250;São João de Iracema;1671;1780;1846;0,63;0,3
3549300;São João do Pau d'Alho;2180;2103;2242;-0,36;0,53
3549409;São Joaquim da Barra;41587;46512;48558;1,13;0,36
3549508;São José da Bela Vista;8075;8406;7626;0,4;-0,81
3549607;São José do Barreiro;4143;4077;3853;-0,16;-0,47
3549706;São José do Rio Pardo;50077;51900;52204;0,36;0,05
3549805;São José do Rio Preto;358523;408258;480439;1,31;1,37
3549904;São José dos Campos;539313;629921;697428;1,57;0,85
3549953;São Lourenço da Serra;12199;13973;15984;1,37;1,13
3550001;São Luiz do Paraitinga;10429;10397;10337;-0,03;-0,05
3550100;São Manuel;36545;38342;37289;0,48;-0,23
3550209;São Miguel Arcanjo;30798;31450;32039;0,21;0,15
3550308;São Paulo;10434252;11253503;11451245;0,76;0,15
3550407;São Pedro;27897;31662;38256;1,27;1,59
3550506;São Pedro do Turvo;6888;7198;7214;0,44;0,02
3550605;São Roque;66637;78821;79484;1,69;0,07
3550704;São Sebastião;58038;73942;81540;2,45;0,82
3550803;São Sebastião da Grama;12454;12099;10441;-0,29;-1,22
3550902;São Simão;13675;14346;13442;0,48;-0,54
