Município;Internações
355710 VOTUPORANGA;69
355715 ZACARIAS;1
355720 CHAVANTES;23
355730 ESTIVA GERBI;10
;
;
;
 ;
;
;
 ;
